# FFXIV 1.23b (2012.09.19.0001) -- USER_DEFINED symbols exported from Ghidra
# 993 symbols we authored (renames), extracted from the Ghidra XML export.
# Format: <address>	<name>. Re-import via the script in ghidra_symbol_map.md.
# This is OUR annotation work only -- no proprietary bytes/disassembly.
004b3c50	NetworkModule_topLevelTick
004d6d30	Application_dispatchToZoneClient
004d9970	ChunkRegistry_LookupAt_4AC
004da680	Application_mainTick_perFrame_eventLoopAndSubsystems
004dc690	Zone_MAIN_inbound_opcode_dispatcher_50plus_handlers
004de190	HandleMap_Find
004df0a0	LobbyClient_ctor
004df3d0	LobbyClient_teardownAndRelease
004df6d0	ChatOut_send_opcode_0xc9_chatMessage_536B
004df810	ChatOut_send_opcode_0xc8_tell_560B
004df9a0	ChatOut_send_handshake_or_loginAck_opcode_0x02_or_0x12c
004e0240	ZoneClient_dispatchOutbound
004e0290	ZoneClient_sendKeepalive
004e0320	ZoneClient_sendLargeStatePush
004e0690	LobbyClient_proxyStartA
004e0790	LobbyClient_proxyStartB
004e11f0	LobbyClient_getReadinessField
004e20a0	ZoneClient_mainLoopTick
004e30a0	NetworkClientModule_tick
004e3750	ChatTellDescriptor_construct_opcode_0xc8
004e3b90	ScalarTypeLoginParam_Utf8_flag2_ctor
004e5ca0	ZoneClient_packetTree_rbLookupOrInsert_bySequence
004e5ff0	ZoneClient_packetDispatch_treeOrDestroy_threshold_0x1c11
004e7750	IpcPacket_acquireSendSlot
004e80b0	IpcPacket_finalizeAndSend
0055cf70	SessionBatch_processMultiRecord_count_in_payload_0xa4_40Bperrecord
0056d3c0	ChatParser_lookupCommandIdByName
0056e040	ChatParser_parseTypedArg
0056e380	ChatParser_tokenizeAndParse
00573460	Actor_isBazaarDealer
005735e0	Actor_getStateMainSkill_at_idx
00573610	Actor_getConstanceCommandSlot_at_idx
00573640	Actor_getGiftCommandSlot_at_idx
00573670	Actor_getSkillLevel_at_idx
005736a0	Actor_getAbilityCostPointUsed
005736c0	Actor_getAbilityCostPointMax
005736e0	Actor_getConstanceCostPointUsed
00573700	Actor_getConstanceCostPointMax
00573720	Actor_getGiftCostPointUsed
00573740	Actor_getGiftCostPointMax
00573760	Actor_isCommandAcquired
005737a0	Actor_getCommandAt_complex
005738b0	Player_getVariableCommandConfirmRaise
005738d0	Player_getVariableCommandConfirmWarp
